"Sample Date","Facility","Species","Salvage","Acrefeet"
2023-01-15,CVP,26,0,8261
2022-12-16,CVP,26,0,5235
2022-02-22,SWP,26,0,395
2022-06-11,SWP,26,0,364
2022-02-05,SWP,26,0,1193
2022-04-21,SWP,26,0,1046
2021-11-06,CVP,26,0,8478
2022-09-05,SWP,26,0,1333
2022-05-23,SWP,26,0,1611
2022-06-22,SWP,26,0,455
2022-12-11,SWP,26,0,1034
2022-08-16,CVP,26,0,5380
2022-09-29,SWP,26,0,903
2022-12-06,CVP,26,0,1612
2023-02-14,SWP,26,0,6655
2022-08-22,CVP,26,0,5115
2023-03-15,SWP,26,0,19174
2021-12-19,CVP,26,0,8239
2022-08-02,SWP,26,0,1103
2022-03-19,SWP,26,0,821
2022-12-04,CVP,26,0,1600
2021-11-05,CVP,26,0,8518
2022-04-17,SWP,26,0,1034
2022-03-07,SWP,26,0,608
2022-05-20,CVP,26,0,1804
2022-06-21,CVP,26,0,1805
2023-02-28,SWP,26,0,5112
2022-06-14,CVP,26,0,1809
2022-06-08,SWP,26,0,933
2022-10-26,SWP,26,NS,0
2022-01-04,CVP,26,0,6934
2022-08-27,SWP,26,0,1333
2022-09-04,SWP,26,0,1333
2021-12-31,CVP,26,0,5163
2022-10-07,SWP,26,0,710
2022-11-12,CVP,26,0,3589
2022-09-13,SWP,26,0,1638
2023-02-06,CVP,26,0,5323
2022-07-12,CVP,26,0,5383
2023-01-02,CVP,26,0,6976
2023-03-02,CVP,26,4,8305
2022-12-26,SWP,26,0,3646
2022-01-29,CVP,26,0,6616
2022-04-04,CVP,26,0,1802
2022-11-20,SWP,26,0,1034
2022-01-21,SWP,26,0,3377
2022-10-08,SWP,26,0,710
2022-12-18,CVP,26,0,5270
2021-11-13,SWP,26,0,7941
2021-12-27,CVP,26,0,3366
2022-05-24,SWP,26,0,1074
2022-04-14,SWP,26,0,1043
2021-12-02,CVP,26,0,3401
2023-04-07,SWP,26,0,11984
2022-12-15,SWP,26,0,10896
2022-12-21,CVP,26,0,3577
2022-01-17,CVP,26,0,8075
2021-12-21,SWP,26,0,1902
2022-01-27,CVP,26,0,6727
2021-12-30,CVP,26,0,5160
2022-08-03,CVP,26,0,5442
2022-11-29,SWP,26,0,605
2023-01-30,SWP,26,0,14890
2021-12-10,CVP,26,0,1658
2022-03-02,CVP,26,0,1722
2022-05-15,SWP,26,0,846
2022-03-04,SWP,26,0,821
2022-05-15,CVP,26,0,1799
2022-06-23,CVP,26,0,1827
2022-04-25,SWP,26,0,1064
2023-04-02,CVP,26,0,6973
2021-11-17,SWP,26,0,1692
2022-03-03,CVP,26,0,1728
2022-01-06,CVP,26,0,7965
2023-03-09,CVP,26,0,7479
2023-02-05,CVP,26,0,5363
2022-03-12,SWP,26,0,383
2022-11-25,CVP,26,0,1797
2022-11-26,CVP,26,0,1800
2022-09-18,SWP,26,0,2166
2023-03-25,CVP,26,0,7036
2022-09-24,SWP,26,0,2910
2022-04-02,CVP,26,0,1777
2022-05-30,SWP,26,0,560
2022-06-12,SWP,26,0,364
2023-01-26,SWP,26,0,19184
2023-03-24,CVP,26,0,6990
2022-01-30,CVP,26,0,6742
2023-02-15,CVP,26,0,8389
2022-02-03,SWP,26,0,1695
2022-10-31,SWP,26,0,1834
2023-04-06,SWP,26,0,11692
2022-10-09,CVP,26,0,1819
2022-08-25,SWP,26,0,1610
2021-11-17,CVP,26,0,5181
2022-07-03,SWP,26,0,733
2022-05-31,CVP,26,0,1808
2022-06-06,CVP,26,0,1793
2021-11-28,CVP,26,0,3502
2021-12-01,CVP,26,0,3385
2021-12-28,SWP,26,0,1689
2022-04-06,CVP,26,0,1785
2022-01-02,CVP,26,0,3386
2022-07-01,SWP,26,NS,0
2023-01-25,SWP,26,0,19184
2023-04-19,SWP,26,0,8666
2022-04-24,CVP,26,0,1786
2022-12-02,CVP,26,0,1571
2022-08-09,SWP,26,0,359
2022-03-09,CVP,26,0,1769
2022-07-28,SWP,26,0,933
2022-03-18,SWP,26,0,821
2022-10-04,SWP,26,0,901
2022-04-12,SWP,26,0,1034
2022-10-26,CVP,26,0,1805
2022-07-19,CVP,26,0,5357
2022-10-10,SWP,26,0,901
2022-05-29,SWP,26,0,560
2022-10-30,SWP,26,0,2826
2022-06-17,CVP,26,0,1798
2022-09-21,CVP,26,0,5377
2022-12-31,SWP,26,0,12374
2021-11-03,CVP,26,0,8434
2023-03-13,CVP,26,0,8504
2022-03-13,SWP,26,0,608
2022-08-01,CVP,26,0,5397
2023-02-22,CVP,26,4,6940
2023-03-01,CVP,26,0,7932
2022-12-08,CVP,26,0,1586
2023-04-22,CVP,26,0,3353
2021-12-04,SWP,26,0,598
2022-01-16,CVP,26,4,8161
2022-09-02,CVP,26,0,3606
2023-01-10,SWP,26,0,5115
2022-03-30,SWP,26,0,3210
2022-05-22,CVP,26,0,1787
2022-08-08,CVP,26,0,5368
2022-12-17,SWP,26,0,6526
2021-12-03,CVP,26,0,1842
2022-09-10,CVP,26,0,3596
2022-04-16,SWP,26,0,1038
2022-03-08,SWP,26,0,1247
2022-10-24,SWP,26,NS,0
2022-08-19,SWP,26,0,1333
2022-01-07,CVP,26,0,8346
2023-04-11,SWP,26,0,6923
2022-08-10,CVP,26,0,5370
2022-11-09,CVP,26,0,3040
2022-06-30,SWP,26,NS,0
2023-02-16,SWP,26,0,7111
2022-10-13,SWP,26,0,1074
2023-04-24,CVP,26,0,5360
2022-11-30,CVP,26,0,1772
2021-12-13,CVP,26,0,3447
2021-11-02,SWP,26,0,12943
2022-06-03,SWP,26,0,467
2022-09-11,SWP,26,0,1322
2022-06-13,SWP,26,0,273
2022-06-18,SWP,26,0,364
2022-02-07,CVP,26,0,3576
2023-02-07,CVP,26,0,5297
2023-04-28,CVP,26,0,5395
2023-02-17,SWP,26,0,6135
2022-06-26,SWP,26,0,546
2022-05-27,CVP,26,0,1815
2023-01-20,CVP,26,0,8183
2022-01-16,SWP,26,0,3791
2023-01-29,SWP,26,0,16015
2022-09-23,SWP,26,0,2919
2023-03-26,CVP,26,0,7043
2023-04-18,SWP,26,0,8924
2022-04-02,SWP,26,0,1034
2022-01-31,CVP,26,0,6805
2023-02-04,SWP,26,0,10035
2022-06-24,CVP,26,0,1831
2022-07-09,SWP,26,0,1074
2022-11-13,CVP,26,0,3592
2023-04-14,CVP,26,0,3361
2021-11-25,CVP,26,0,3515
2023-01-09,CVP,26,0,6977
2021-12-23,CVP,26,0,1822
2023-03-27,SWP,26,0,6834
2023-03-23,CVP,26,0,7818
2021-11-08,CVP,26,0,8471
2022-07-04,SWP,26,0,728
2022-10-25,SWP,26,NS,0
2022-04-24,SWP,26,0,1057
2023-02-25,CVP,26,0,6958
2021-11-29,CVP,26,0,3440
2022-10-20,SWP,26,0,1088
2023-01-12,SWP,26,0,9491
2022-08-09,CVP,26,0,5390
2021-12-13,SWP,26,0,2967
2021-12-08,CVP,26,0,1653
2023-02-21,SWP,26,0,4016
2023-03-28,SWP,26,0,5131
2022-03-19,CVP,26,0,1774
2021-11-19,SWP,26,0,821
2022-10-02,CVP,26,0,3599
2022-04-20,CVP,26,0,1789
2022-08-26,SWP,26,0,1333
2022-08-31,SWP,26,0,1314
2022-10-15,SWP,26,0,901
2021-11-16,SWP,26,0,2794
2022-02-17,SWP,26,0,689
2022-09-29,CVP,26,0,5406
2022-08-17,SWP,26,0,903
2022-02-19,SWP,26,0,615
2022-11-01,SWP,26,0,806
2022-11-05,CVP,26,0,1807
2022-04-30,CVP,26,0,1794
2022-01-01,SWP,26,0,2122
2022-07-17,CVP,26,0,5388
2023-02-11,SWP,26,0,7672
2022-09-08,CVP,26,0,3591
2022-02-16,SWP,26,0,596
2022-11-11,CVP,26,0,3593
2022-06-20,CVP,26,0,1714
2022-07-08,SWP,26,0,1074
2022-05-13,CVP,26,0,1798
2022-05-22,SWP,26,0,1256
2022-04-07,SWP,26,0,830
2021-12-23,SWP,26,0,2541
2022-07-15,CVP,26,0,5389
2022-08-05,CVP,26,0,5416
2022-06-07,SWP,26,NS,0
2022-03-02,SWP,26,0,596
2021-12-24,CVP,26,0,3371
2022-06-17,SWP,26,0,364
2022-02-05,CVP,26,0,3584
2023-03-22,CVP,26,0,8476
2021-11-11,CVP,26,0,5510
2022-04-28,CVP,26,0,1785
2022-05-21,SWP,26,0,2464
2023-02-17,CVP,26,4,8031
2023-01-08,CVP,26,0,6954
2022-07-06,CVP,26,0,3598
2022-09-15,CVP,26,0,5409
2022-05-12,SWP,26,0,1692
2022-05-18,SWP,26,NS,0
2021-11-23,CVP,26,0,5437
2023-03-05,SWP,26,0,11929
2023-02-24,SWP,26,0,3381
2022-01-18,SWP,26,0,2927
2023-03-24,SWP,26,0,13271
2023-01-24,SWP,26,0,19184
2021-11-06,SWP,26,0,7973
2022-11-17,CVP,26,0,3587
2021-12-31,SWP,26,0,811
2023-04-21,SWP,26,0,11784
2022-04-29,SWP,26,0,1247
2022-09-17,SWP,26,0,1456
2023-05-01,SWP,26,0,7780
2022-02-02,CVP,26,0,1613
2022-08-20,SWP,26,0,1333
2022-04-28,SWP,26,0,1092
2022-06-25,SWP,26,0,560
2023-01-22,SWP,26,0,18820
2022-09-10,SWP,26,0,1322
2022-01-09,SWP,26,0,3140
2022-05-21,CVP,26,0,1791
2022-05-24,CVP,26,0,1796
2022-12-15,CVP,26,0,4715
2022-06-16,SWP,26,0,458
2023-01-29,CVP,26,0,8309
2023-04-17,CVP,26,0,3367
2023-01-24,CVP,26,0,8282
2022-04-10,CVP,26,0,1785
2022-07-28,CVP,26,0,5390
2022-05-17,SWP,26,NS,0
2022-07-19,SWP,26,0,903
2022-08-24,SWP,26,0,1333
2022-12-21,SWP,26,0,1038
2023-03-04,CVP,26,0,8346
2022-06-16,CVP,26,0,1809
2022-09-09,SWP,26,0,1322
2022-02-26,CVP,26,0,1586
2021-12-20,CVP,26,0,1851
2022-10-17,CVP,26,0,1817
2023-03-20,SWP,26,0,13272
