"StationCode","Tag","dist_km"
"23-28-LSJ06","RBP",12.0388347648318
"23-28-LSR01","RBP",5.05477272147525
"23-28-LSR02","RBP",8.50538238691624
"23-28-LSR03","RBP",0.853553390593274
"23-28-LSR04","RBP",7.82401153701777
"23-28-LSR05","RBP",5.69974746830584
"23-28-LSR06","RBP",9.09325035256027
"23-28-SB01","RBP",12.1796464556281
"23-28-SB02","RBP",35.5400540957138
"23-28-SB03","RBP",31.8338095116625
"23-28-SB04","RBP",12.5808657865101
"23-28-SB05","RBP",29.3208152801714
"23-28-SB06","RBP",28.8737590053237
"23-28-SD01","RBP",27.7036579926459
"23-28-SD02","RBP",31.2379725676967
"23-28-SD04","RBP",19.4352813742386
"23-28-SD05","RBP",28.6480230740356
"23-28-SD07","RBP",24.6559920523572
"23-28-SM01","RBP",38.335385976291
"23-28-SM02","RBP",37.7167568261895
"23-28-SM03","RBP",29.2613744392735
"23-28-SSC01","RBP",36.5806132548159
"23-28-SSC02","RBP",56.3010714012401
"23-28-SSC03","RBP",17.7566017177982
"23-28-WD01","RBP",41.4279220613576
"23-28-WD02","RBP",58.099599538664
"23-28-WD03","RBP",56.5063491861037
"23-29-CS01","RBP",25.6986327394765
"23-29-CS03","RBP",36.9977705423413
"23-29-CS04","RBP",18.0187337521541
"23-29-LSJ01","RBP",11.9648232278141
"23-29-LSJ02","RBP",12.1302561210691
"23-29-LSJ03","RBP",12.8181240867131
"23-29-LSJ04","RBP",9.79055915910215
"23-29-LSJ05","RBP",13.0219300090006
"23-29-LSJ06","RBP",11.6595454429505
"23-29-LSR01","RBP",0.620710678118655
"23-29-LSR02","RBP",4.98761543394987
"23-29-LSR03","RBP",9.11040764008565
"23-29-LSR04","RBP",4.99974746830584
"23-29-LSR05","RBP",2.68639610306789
"23-29-LSR06","RBP",3.14055915910216
"23-29-SB02","RBP",27.2086832458154
"23-29-SB03","RBP",24.3852813742386
"23-29-SB04","RBP",35.8980230740355
"23-29-SB05","RBP",35.0394444302728
"23-29-SB07","RBP",11.9373629022557
"23-29-SB09","RBP",27.6793939239341
"23-29-SD02","RBP",18.7488852711707
"23-29-SD03","RBP",30.7344191771034
"23-29-SD04","RBP",33.1722871427474
"23-29-SD06","RBP",31.0601551083915
"23-29-SD07","RBP",18.5568542494924
"23-29-SM01","RBP",34.0983802077823
"23-29-SM02","RBP",32.1670093578839
"23-29-SM03","RBP",30.742745289172
"23-29-SSC01","RBP",38.458430714121
"23-29-SSC02","RBP",17.2444696834422
"23-29-SSC03","RBP",29.1400540957139
"23-29-WD01","RBP",59.7981276760878
"23-29-WD02","RBP",50.3563491861037
"23-29-WD03","RBP",56.0448268171887
"23-30-CS01","RBP",27.1448268171891
"23-30-CS02","RBP",24.4663996924429
"23-30-CS03","RBP",21.1193434175952
"23-30-LSJ01","RBP",9.23700576850888
"23-30-LSJ02","RBP",11.9645706961199
"23-30-LSJ03","RBP",22.5373629022557
"23-30-LSJ04","RBP",12.9597979746446
"23-30-LSJ05","RBP",15.0267027304758
"23-30-LSJ06","RBP",11.6509667991878
"23-30-LSR01","RBP",1.67279220613579
"23-30-LSR02","RBP",4.39766594028871
"23-30-LSR03","RBP",8.37401153701777
"23-30-LSR04","RBP",8.34325035256028
"23-30-LSR05","RBP",2.4920310216783
"23-30-LSR06","RBP",3.63137084989848
"23-30-SB01","RBP",19.9438600180013
"23-30-SB02","RBP",12.5844191771034
"23-30-SB03","RBP",24.5352813742386
"23-30-SB04","RBP",34.5086832458153
